No.,Time,Source,Destination,Protocol,Length,CID,Payload,Info
4169,14:35.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4170,14:35.9,localhost (),remote (),L2CAP,637,Dynamically Allocated Channel,80600ae900ca245d0000000047fc0000,Sent Connection oriented channel
4171,14:35.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4172,14:35.9,localhost (),remote (),L2CAP,632,Dynamically Allocated Channel,80600aea00ca24710000000047fc0000,Sent Connection oriented channel
4173,14:35.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4174,14:35.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4175,14:35.9,localhost (),remote (),L2CAP,659,Dynamically Allocated Channel,80600aeb00ca24840000000047fc0000,Sent Connection oriented channel
4176,14:35.9,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
4177,14:35.9,localhost (),remote (),L2CAP,638,Dynamically Allocated Channel,80600aec00ca24a20000000047fc0000,Sent Connection oriented channel
4178,14:35.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4179,14:36.0,localhost (),remote (),L2CAP,665,Dynamically Allocated Channel,80600aed00ca24b70000000047fc0000,Sent Connection oriented channel
4180,14:36.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4181,14:36.0,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
4182,14:36.0,localhost (),remote (),L2CAP,652,Dynamically Allocated Channel,80600aee00ca24cb0000000047fc0000,Sent Connection oriented channel
4183,14:36.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4184,14:36.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4185,14:36.0,localhost (),remote (),L2CAP,632,Dynamically Allocated Channel,80600aef00ca24e90000000047fc0000,Sent Connection oriented channel
4186,14:36.0,localhost (),remote (),L2CAP,620,Dynamically Allocated Channel,80600af000ca24fc0000000047fc0000,Sent Connection oriented channel
4187,14:36.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4188,14:36.0,localhost (),remote (),L2CAP,610,Dynamically Allocated Channel,80600af100ca25110000000047fc0000,Sent Connection oriented channel
4189,14:36.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4190,14:36.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4191,14:36.1,localhost (),remote (),L2CAP,634,Dynamically Allocated Channel,80600af200ca252e0000000047fc0000,Sent Connection oriented channel
4192,14:36.1,localhost (),remote (),L2CAP,643,Dynamically Allocated Channel,80600af300ca25430000000047fc0000,Sent Connection oriented channel
4193,14:36.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4194,14:36.1,localhost (),remote (),L2CAP,610,Dynamically Allocated Channel,80600af400ca25560000000047fc0000,Sent Connection oriented channel
4195,14:36.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4196,14:36.1,localhost (),remote (),L2CAP,621,Dynamically Allocated Channel,80600af500ca25740000000047fc0000,Sent Connection oriented channel
4197,14:36.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4198,14:36.2,localhost (),remote (),L2CAP,631,Dynamically Allocated Channel,80600af600ca25890000000047fc0000,Sent Connection oriented channel
4199,14:36.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4200,14:36.2,localhost (),remote (),L2CAP,672,Dynamically Allocated Channel,80600af700ca259d0000000047fc0000,Sent Connection oriented channel
4201,14:36.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4202,14:36.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4203,14:36.2,localhost (),remote (),L2CAP,656,Dynamically Allocated Channel,80600af800ca25bb0000000047fc0000,Sent Connection oriented channel
4204,14:36.2,localhost (),remote (),L2CAP,662,Dynamically Allocated Channel,80600af900ca25cf0000000047fc0000,Sent Connection oriented channel
4205,14:36.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4206,14:36.3,localhost (),remote (),L2CAP,623,Dynamically Allocated Channel,80600afa00ca25e30000000047fc0000,Sent Connection oriented channel
4207,14:36.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4208,14:36.3,localhost (),remote (),L2CAP,624,Dynamically Allocated Channel,80600afb00ca26010000000047fc0000,Sent Connection oriented channel
4209,14:36.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4210,14:36.3,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
4211,14:36.3,localhost (),remote (),L2CAP,627,Dynamically Allocated Channel,80600afc00ca26150000000047fc0000,Sent Connection oriented channel
4212,14:36.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
