"No.","Time","Source","Destination","Protocol","Length","Expert Info","Bluetooth","Data Total Length","Data","CID","Payload","Info"
"27","18:21:42.757000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","643","â\234\223","Dynamically Allocated Channel","8060026000bad1fd0000000047fc0000","Sent Connection oriented channel"
"28","18:21:42.768000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"29","18:21:42.768000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"30","18:21:42.780000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","623","â\234\223","Dynamically Allocated Channel","8060026100bad2140000000047fc0000","Sent Connection oriented channel"
"31","18:21:42.783000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"32","18:21:42.803000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","625","â\234\223","Dynamically Allocated Channel","8060026200bad22b0000000047fc0000","Sent Connection oriented channel"
"33","18:21:42.806000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"34","18:21:42.827000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","642","â\234\223","Dynamically Allocated Channel","8060026300bad2420000000047fc0000","Sent Connection oriented channel"
"35","18:21:42.829000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"36","18:21:42.850000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","613","â\234\223","Dynamically Allocated Channel","8060026400bad25a0000000047fc0000","Sent Connection oriented channel"
"37","18:21:42.860000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"38","18:21:42.860000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"39","18:21:42.873000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","638","â\234\223","Dynamically Allocated Channel","8060026500bad2710000000047fc0000","Sent Connection oriented channel"
"40","18:21:42.881000","controller","host","HCI_EVT","34","â\234\223","â\234\223","","","","","Rcvd LE Meta (LE Advertising Report)"
"41","18:21:42.896000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","616","â\234\223","Dynamically Allocated Channel","8060026600bad2880000000047fc0000","Sent Connection oriented channel"
"42","18:21:42.899000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"43","18:21:42.916000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"44","18:21:42.916000","controller","host","HCI_EVT","46","â\234\223","â\234\223","","","","","Rcvd LE Meta (LE Advertising Report)"
"45","18:21:42.920000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","624","â\234\223","Dynamically Allocated Channel","8060026700bad29f0000000047fc0000","Sent Connection oriented channel"
"46","18:21:42.943000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","620","â\234\223","Dynamically Allocated Channel","8060026800bad2b70000000047fc0000","Sent Connection oriented channel"
"47","18:21:42.946000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"48","18:21:42.966000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","617","â\234\223","Dynamically Allocated Channel","8060026900bad2ce0000000047fc0000","Sent Connection oriented channel"
"49","18:21:42.990000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","609","â\234\223","Dynamically Allocated Channel","8060026a00bad2e50000000047fc0000","Sent Connection oriented channel"
"50","18:21:42.992000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"51","18:21:43.002000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"52","18:21:43.002000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"53","18:21:43.013000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","640","â\234\223","Dynamically Allocated Channel","8060026b00bad2fd0000000047fc0000","Sent Connection oriented channel"
"54","18:21:43.036000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","613","â\234\223","Dynamically Allocated Channel","8060026c00bad3140000000047fc0000","Sent Connection oriented channel"
"55","18:21:43.039000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"56","18:21:43.059000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","639","â\234\223","Dynamically Allocated Channel","8060026d00bad32b0000000047fc0000","Sent Connection oriented channel"
"57","18:21:43.063000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"58","18:21:43.082000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","615","â\234\223","Dynamically Allocated Channel","8060026e00bad3420000000047fc0000","Sent Connection oriented channel"
"59","18:21:43.085000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"60","18:21:43.105000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","616","â\234\223","Dynamically Allocated Channel","8060026f00bad3590000000047fc0000","Sent Connection oriented channel"
"61","18:21:43.115000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"62","18:21:43.115000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"63","18:21:43.128000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","610","â\234\223","Dynamically Allocated Channel","8060027000bad3700000000047fc0000","Sent Connection oriented channel"
"64","18:21:43.152000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","611","â\234\223","Dynamically Allocated Channel","8060027100bad3880000000047fc0000","Sent Connection oriented channel"
"65","18:21:43.155000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"66","18:21:43.176000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","670","â\234\223","Dynamically Allocated Channel","8060027200bad3a00000000047fc0000","Sent Connection oriented channel"
"67","18:21:43.187000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"68","18:21:43.187000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"69","18:21:43.198000","controller","host","HCI_EVT","30","â\234\223","â\234\223","","","","","Rcvd LE Meta (LE Advertising Report)"
"70","18:21:43.199000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","642","â\234\223","Dynamically Allocated Channel","8060027300bad3b60000000047fc0000","Sent Connection oriented channel"
"71","18:21:43.222000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","643","â\234\223","Dynamically Allocated Channel","8060027400bad3ce0000000047fc0000","Sent Connection oriented channel"
"72","18:21:43.225000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"73","18:21:43.245000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","609","â\234\223","Dynamically Allocated Channel","8060027500bad3e50000000047fc0000","Sent Connection oriented channel"
